iter	Passed	Remaining
409	5099	7338
410	5111	7325
411	5125	7314
412	5138	7303
413	5152	7292
414	5164	7279
415	5176	7267
416	5189	7255
417	5202	7244
418	5216	7233
419	5229	7221
420	5242	7210
421	5257	7201
422	5270	7189
423	5283	7177
424	5298	7168
425	5311	7156
426	5325	7145
427	5338	7134
428	5351	7123
429	5364	7111
430	5376	7098
431	5386	7082
432	5399	7070
433	5410	7055
434	5421	7041
435	5433	7028
436	5443	7012
437	5455	7000
438	5468	6988
439	5481	6976
440	5491	6960
441	5504	6948
442	5517	6937
443	5532	6927
444	5545	6916
445	5559	6905
446	5572	6894
447	5585	6881
448	5597	6869
449	5611	6858
450	5625	6847
451	5639	6836
452	5653	6827
453	5667	6816
454	5679	6803
455	5691	6790
456	5703	6776
457	5716	6764
458	5729	6753
459	5742	6740
460	5755	6728
461	5768	6717
462	5779	6702
463	5790	6689
464	5805	6679
465	5819	6668
466	5832	6656
467	5843	6643
468	5855	6629
469	5867	6616
470	5880	6604
471	5891	6590
472	5904	6578
473	5919	6569
474	5933	6558
475	5949	6549
476	5962	6537
477	5976	6526
478	5989	6514
479	6002	6502
480	6013	6489
481	6025	6475
482	6038	6463
483	6052	6452
484	6065	6440
485	6078	6428
486	6091	6416
487	6104	6404
488	6118	6393
489	6133	6383
490	6146	6371
491	6159	6360
492	6173	6348
493	6185	6335
494	6199	6324
495	6212	6312
496	6222	6298
497	6235	6285
498	6247	6272
499	6258	6258
500	6271	6246
501	6284	6234
502	6297	6222
503	6312	6211
504	6332	6207
505	6347	6196
506	6361	6186
507	6374	6173
508	6387	6161
509	6401	6150
510	6415	6139
511	6430	6129
512	6445	6118
513	6458	6106
514	6471	6094
515	6488	6085
516	6502	6074
517	6516	6063
518	6529	6051
519	6544	6041
520	6558	6029
521	6571	6017
522	6585	6006
523	6598	5993
524	6613	5983
525	6627	5972
526	6641	5960
527	6656	5950
528	6670	5938
529	6682	5926
530	6698	5916
531	6710	5903
532	6722	5890
533	6737	5879
534	6750	5867
535	6763	5854
536	6774	5840
537	6787	5828
538	6800	5816
539	6813	5803
540	6826	5791
541	6839	5779
542	6852	5767
543	6865	5754
544	6879	5743
545	6892	5731
546	6908	5721
547	6921	5709
548	6935	5697
549	6952	5688
550	6967	5677
551	6981	5665
552	6994	5654
553	7009	5642
554	7023	5631
555	7037	5619
556	7050	5607
557	7063	5595
558	7077	5583
559	7088	5569
560	7100	5556
561	7112	5543
562	7124	5530
563	7138	5518
564	7152	5507
565	7167	5495
566	7180	5483
567	7193	5471
568	7205	5458
569	7217	5444
570	7229	5431
571	7242	5419
572	7256	5407
573	7269	5394
574	7283	5383
575	7297	5371
576	7309	5358
577	7323	5346
578	7333	5332
579	7347	5320
580	7361	5309
581	7374	5296
582	7388	5284
583	7401	5272
584	7414	5260
585	7428	5248
586	7443	5237
587	7457	5225
588	7471	5213
589	7485	5201
590	7499	5189
591	7512	5177
592	7525	5165
593	7539	5153
594	7559	5145
595	7590	5145
596	7604	5133
597	7618	5121
598	7635	5111
599	7648	5098
600	7661	5086
601	7675	5074
602	7686	5060
603	7700	5048
604	7710	5034
605	7722	5021
606	7735	5008
607	7749	4996
608	7762	4984
609	7775	4970
610	7784	4956
611	7796	4942
612	7807	4929
613	7819	4915
614	7831	4902
615	7842	4888
616	7855	4876
617	7868	4863
618	7882	4851
619	7895	4838
620	7908	4826
621	7922	4814
622	7936	4802
623	7949	4789
624	7962	4777
625	7975	4765
626	7987	4751
627	7999	4738
628	8011	4725
629	8025	4713
630	8040	4701
631	8053	4689
632	8068	4677
633	8081	4665
634	8093	4652
635	8108	4640
636	8122	4628
637	8135	4616
638	8148	4603
639	8165	4593
640	8189	4586
641	8204	4575
642	8222	4565
643	8236	4553
644	8251	4541
645	8265	4529
646	8281	4518
647	8297	4507
648	8311	4494
649	8326	4483
650	8342	4472
651	8363	4463
652	8380	4453
653	8395	4441
654	8411	4430
655	8428	4419
656	8443	4407
657	8457	4396
658	8470	4383
659	8485	4371
660	8499	4358
661	8512	4346
662	8526	4334
663	8540	4321
664	8553	4308
665	8567	4296
666	8581	4284
667	8594	4271
668	8607	4258
669	8621	4246
670	8634	4233
671	8648	4221
672	8661	4208
673	8674	4195
674	8687	4183
675	8701	4170
676	8717	4159
677	8733	4147
678	8748	4135
679	8767	4125
680	8787	4116
681	8805	4105
682	8820	4093
683	8837	4082
684	8850	4069
685	8863	4057
686	8879	4045
687	8894	4033
688	8908	4021
689	8920	4007
690	8931	3993
691	8942	3980
692	8956	3967
693	8973	3956
694	8988	3944
695	9003	3932
696	9018	3920
697	9033	3908
698	9046	3895
699	9061	3883
700	9075	3871
701	9088	3857
702	9101	3844
703	9115	3832
704	9130	3820
705	9142	3807
706	9156	3794
707	9168	3781
708	9184	3769
709	9197	3756
710	9212	3744
711	9228	3733
712	9242	3720
713	9256	3707
714	9267	3694
715	9278	3680
716	9291	3667
717	9304	3654
718	9313	3640
719	9325	3626
720	9335	3612
721	9347	3599
722	9360	3586
723	9372	3573
724	9383	3559
725	9395	3545
726	9409	3533
727	9421	3520
728	9432	3506
729	9443	3492
730	9456	3479
731	9466	3465
732	9478	3452
733	9491	3439
734	9503	3426
735	9513	3412
736	9525	3399
737	9537	3386
738	9548	3372
739	9560	3359
740	9573	3346
741	9584	3332
742	9595	3319
743	9608	3306
744	9621	3293
745	9633	3280
746	9643	3266
747	9656	3253
748	9667	3239
749	9677	3225
750	9691	3213
751	9703	3200
752	9713	3186
753	9724	3172
754	9737	3159
755	9748	3146
756	9759	3132
757	9771	3119
758	9784	3106
759	9794	3093
760	9808	3080
761	9821	3067
762	9833	3054
763	9845	3041
764	9855	3027
765	9868	3014
766	9879	3001
767	9890	2987
768	9903	2974
769	9911	2960
770	9923	2947
771	9936	2934
772	9948	2921
773	9958	2907
774	9969	2894
775	9982	2881
776	9996	2868
777	10010	2856
778	10022	2843
779	10034	2830
780	10045	2816
781	10055	2803
782	10066	2789
783	10078	2776
784	10089	2763
785	10101	2750
786	10114	2737
787	10126	2724
788	10136	2710
789	10149	2697
790	10162	2685
791	10173	2671
792	10184	2658
793	10198	2645
794	10211	2633
795	10224	2620
796	10235	2607
797	10246	2593
798	10259	2580
799	10271	2567
800	10282	2554
801	10293	2541
802	10306	2528
803	10317	2515
804	10327	2501
805	10340	2488
806	10352	2475
807	10364	2462
808	10375	2449
809	10386	2436
810	10400	2423
811	10413	2411
812	10425	2398
813	10435	2384
814	10448	2371
815	10458	2358
816	10470	2345
817	10483	2332
818	10497	2319
819	10509	2306
820	10521	2294
821	10532	2280
822	10545	2267
823	10558	2255
824	10568	2241
825	10580	2228
826	10593	2216
827	10607	2203
828	10621	2190
829	10632	2177
830	10642	2164
831	10655	2151
832	10665	2138
833	10676	2125
834	10689	2112
835	10700	2099
836	10711	2085
837	10724	2073
838	10736	2060
839	10748	2047
840	10758	2034
841	10771	2021
842	10783	2008
843	10794	1995
844	10806	1982
845	10819	1969
846	10831	1956
847	10841	1943
848	10853	1930
849	10864	1917
850	10875	1904
851	10888	1891
852	10900	1878
853	10910	1865
854	10923	1852
855	10935	1839
856	10947	1826
857	10960	1814
858	10972	1801
859	10983	1787
860	10995	1775
861	11009	1762
862	11022	1749
863	11034	1736
864	11045	1723
865	11057	1710
866	11067	1697
867	11080	1684
868	11092	1672
869	11105	1659
870	11115	1646
871	11127	1633
872	11138	1620
873	11149	1607
874	11161	1594
875	11171	1581
876	11184	1568
877	11196	1555
878	11206	1542
879	11218	1529
880	11231	1517
881	11243	1504
882	11255	1491
883	11268	1478
884	11279	1465
885	11290	1452
886	11303	1440
887	11314	1427
888	11324	1414
889	11336	1401
890	11347	1388
891	11359	1375
892	11371	1362
893	11382	1349
894	11395	1336
895	11408	1324
896	11421	1311
897	11433	1298
898	11444	1285
899	11456	1272
900	11469	1260
901	11480	1247
902	11492	1234
903	11506	1221
904	11520	1209
905	11534	1196
906	11545	1183
907	11559	1171
908	11573	1158
909	11586	1145
910	11600	1133
911	11613	1120
912	11627	1108
913	11640	1095
914	11650	1082
915	11661	1069
916	11671	1056
917	11680	1043
918	11691	1030
919	11703	1017
920	11713	1004
921	11724	991
922	11737	979
923	11746	966
924	11756	953
925	11765	940
926	11775	927
927	11787	914
928	11797	901
929	11810	888
930	11826	876
931	11841	863
932	11853	851
933	11864	838
934	11873	825
935	11885	812
936	11895	799
937	11905	786
938	11917	774
939	11928	761
940	11940	748
941	11949	735
942	11959	722
943	11969	710
944	11979	697
945	11990	684
946	12001	671
947	12013	658
948	12026	646
949	12038	633
950	12048	620
951	12057	607
952	12067	595
953	12079	582
954	12090	569
955	12100	556
956	12112	544
957	12123	531
958	12134	518
959	12144	506
960	12156	493
961	12165	480
962	12175	467
963	12186	455
964	12198	442
965	12208	429
966	12219	416
967	12231	404
968	12243	391
969	12254	379
970	12264	366
971	12275	353
972	12286	340
973	12297	328
974	12308	315
975	12319	302
976	12331	290
977	12341	277
978	12351	264
979	12361	252
980	12371	239
981	12382	226
982	12393	214
983	12404	201
984	12415	189
985	12428	176
986	12440	163
987	12453	151
988	12464	138
989	12479	126
990	12493	113
991	12506	100
992	12523	88
993	12553	75
994	12567	63
995	12580	50
996	12600	37
997	12614	25
998	12627	12
999	12639	0
